departement_code,Date,temperature
05,2016-06-10,17.30000000000002
05,2016-06-11,18.850000000000023
05,2016-06-12,16.65000000000002
05,2016-06-13,16.60000000000003
05,2016-06-14,16.73750000000002
05,2016-06-15,15.187500000000021
05,2016-06-16,13.987500000000026
05,2016-06-17,13.937500000000028
05,2016-06-18,12.837500000000027
05,2016-06-19,13.775000000000034
05,2016-06-20,15.925000000000018
05,2016-06-21,19.63750000000003
05,2016-06-22,22.100000000000016
05,2016-06-23,23.285714285714317
05,2016-06-24,24.137500000000024
05,2016-06-25,21.837500000000006
05,2016-06-26,18.962500000000027
05,2016-06-27,17.775000000000027
05,2016-06-28,20.35000000000003
05,2016-06-29,20.662500000000023
05,2016-06-30,16.85000000000003
05,2016-07-01,20.462500000000027
05,2016-07-02,19.18750000000002
